N° MUESTRA,DESCRIPCION DE LA MUESTRA,SAMPLE ID,N°  de Espectro,ASCI,IN (ASCI),API ,Azufre (%w) ,Saturados(%w) ,Aromaticos(%w) ,Resinas(%w) ,Asfaltenos(%w) 
1,VASCONIA BLEND,20074030,1,9,55,24.5,0.92,31.05,29.15,11.2,4.91
2,CAÑO LIMON,200740335,2,9,55,30,0.437,36.33,32.42,11.68,3.27
3,CARGA U 2000,200756527,3,12,40,23.6,1.02,34.39,39.84,17.86,3.22
4,POZO TRASGO -1 ,200780676,5,10,50,13.4,1.85,29.5,26,16.8,10.4
5,NUNDA - 1 TUNDA - HUILA ,200780694,6,10,50,27.2,0.684,30.55,26.04,9.97,5.25
6,AULLADOR - 1 - DST - 1 ,200782165,8,13,35,25,"1,920",34,34,10.4,2.5
7,"VASCONIA LIVIANO - MEZCLA TROPIMIX L 24"" AL TK 502",200798220,10,9,55,23.1,0.973,33.1,30.3,10.2,6.3
8,COCORNÁ 45,200819927,11,13,35,23.4,1.39,17.61,25.16,15.69,2.83
9,U 250 LINEA ENTRADA,200820389,12,15,25,23.9,0.919,22.48,8.13,2.24,0.38
10,U 250 LINEA SALIDA DESA,200820390,13,17,15,23.7,0.871,31.21,32.9,11.41,2.46
11,U 2100 LINEA ENTRADA,200820391,14,15,25,24.4,0.754,29.81,28.54,12.21,2.12
12,CRUDO U 2100 LINEA DE ENTRADA,200820578,15,11,45,24.4,0.814,30.65,25.74,11.57,4.46
13,U 150 LINEA ENTRADA DESA,200820579,16,14,30,23.7,0.889,31.63,28.97,11.04,3.91
14,U 150 LINEA SALIDA DESA,200820666,17,16,20,47.1,0.125,22.48,8.13,2.24,0.38
15,U 200 LINEA ENTRADA DESA,200820667,18,9,55,47.4,0.135,26.96,9.29,2.16,0.38
16,U 2000 LINEA SALIDA DESA,200820682,19,11,45,23,0.902,34.1,27.62,11.55,4.21
17,U 2000 LINEA SALIDA DESA,200820705,20,11,45,23.4,0.879,34.06,31.36,15.33,3.45
18,U 150 LINEA DE ENTRADA DESA,200820774,22,11,45,47.8,0.119,23.8,8.3,2,0.7
19,U 200 LINEA DE ENTRADA,200820807,24,14,30,23,0.938,32.32,29.78,13.22,3.29
20,U 250 LINEA ENTRADA DESA,200820847,25,18,10,25.1,0.845,30.98,30.41,16.34,2.13
21,U 250 LINEA SALIDA DESA,200820848,26,14,30,25.1,0.769,31.41,29.01,11.54,1.7
22,U 2000 SALIDA DESALA,200820916,27,10,50,23.5,,31.09,29.18,12.33,3.55
23,U 2100 LINEA SALIDA DESA,200820916,28,11,45,23.5,0.891,32.04,28.1,13.08,3.75
24,GARZA 05,200821512,29,16,20,32.9,1.47,32.9,28.1,6.4,0.6
25,CASTILLA 80,200823420,31,10,50,12.5,2.26,21.5,36.9,15.3,14.4
26,CASTILLA NORTE 114,200823455,32,10,50,,,,,,
27,SANTOS 120,200825157,33,15,25,25.3,1.12,28.13,30.78,14.14,3.07
29,Tesoro 43,200826478,35,18,10,34.1,0.432,34.8,15.8,8.3,0.5
30,LISAMA 165,200826607,36,19,5,,0.91,31.01,35.66,13.44,0.78
32,San Francisco 17,200833757,43,15,25,,0.41,33.61,28.57,11.53,2.54
33,Andalucia Sur 10,200833761,44,12,40,13,0.381,30.4,22.7,9.3,4.7
34,SANTOS 65 DH,200833773,45,14,30,23.3,1.19,29.49,29.65,13.71,3.89
35,Acae 2,200849635,50,12,40,26.2,1.17,29.7,30.8,13.6,4.4
