"Formula","S1","S2","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S17","S18","S19"
"C65H132","0","0","0","0","1576954","0","0","0","0","0","0","0","0","0","0","0"
"C27H54","0","0","0","0","1237469","0","0","0","0","0","0","0","1091437","0","0","0"
"C28H56","0","0","0","0","1507602","0","0","0","0","0","0","0","1183593","0","0","0"
"C29H58","0","1474147","0","0","1230929","0","0","0","0","0","0","0","1028612","0","0","0"
"C31H62","0","1557728","0","0","2574159","0","0","0","0","0","0","0","2708068","0","0","0"
"C32H64","0","2053111","0","0","3414932","0","0","0","0","0","0","0","1917499","0","0","0"
"C35H70","0","3931347","0","972061","3889207","0","0","0","0","0","0","0","3084624","0","0","0"
"C40H80","0","2721701","0","1229187","5275942","0","0","0","0","0","0","0","3096184","0","0","0"
"C42H84","0","3537045","0","1072435","4185471","0","0","0","0","0","0","0","3064732","0","0","0"
"C47H94","0","3567136","0","1143160","4875543","0","0","0","0","0","0","0","2830124","0","0","0"
"C18H34","0","4660746","0","1944868","4910393","0","0","0","0","0","0","0","3485460","0","0","0"
"C19H36","0","4372061","0","1041693","6322279","0","0","0","0","0","0","0","4868043","0","0","0"
"C20H38","2516153","4214820","1920432","1607020","8832799","0","0","2621227","1814462","1722409","1110235","2225979","5729395","2393471","1576642","1017875"
"C21H40","3383419","4077677","1803883","1707319","8509978","0","0","2363376","2446681","2387181","1606565","2287118","4187383","2405490","1756473","1047401"
"C22H42","2710643","5461464","1503283","1510995","8587356","2399395","1591601","1975692","1921967","1982459","1437821","1660414","5194818","1696967","1696079","1250406"
"C23H44","2719426","5168454","1203996","2566259","7496657","2875620","2061591","2672541","2814261","1925952","1896820","3452740","3165531","2730818","1347146","1577883"
"C24H46","3073283","5642652","2430108","2141503","9934439","3145698","1770548","2138148","2085287","2255483","1990369","2032023","5745119","3216701","2256190","1807487"
"C25H48","4176849","4644821","2307720","1785039","7992854","2895074","2069023","3747078","2582464","3319750","2154133","3286855","5262235","3702590","2337841","1322025"
"C26H50","4069581","5266819","1882544","1702133","10214018","2826733","1710939","3108707","2580341","3174007","1930785","3569786","5282906","2833803","2344879","1439410"
"C27H52","4069786","4780129","2561423","1895813","7681392","2993227","2097578","3558840","2859834","2912239","1969434","3173078","4731898","3002344","1902659","1715535"
"C28H54","3198796","5379629","1795948","1396056","7936201","3663608","2572864","3520312","3373280","2879781","2712957","3358119","4531930","3319861","1921130","2381674"
"C29H56","4009556","4178609","2437647","1456933","9070197","5648626","2531156","4020624","4573702","3360391","2454986","4863996","4646291","3621439","2887026","2367026"
"C30H58","4192857","4419101","2943940","1595195","7965679","4693243","2269681","4407159","3481553","3032980","2282768","4215458","4358338","3665448","2673120","2744457"
"C31H60","4743428","4981971","2369618","1606654","9143345","5802077","2515850","4390189","3757669","3396553","2014816","5309030","5395701","4130578","2098489","2165148"
"C32H62","3431200","3340082","2182749","1656527","9062732","4953434","2637223","3641947","3176870","3191155","1921182","4369326","4633132","3388970","1397826","2699907"
"C33H64","4655675","5198232","2934156","1539672","8056145","6068790","3078863","4816049","4038680","3939043","2486210","5784274","4776964","3997403","2213398","2872401"
"C34H66","3573279","4596773","1689496","1644794","7861844","4853567","2340753","4597731","3289554","2429026","1974139","4416896","4409880","4078755","1830975","2982951"
"C35H68","4497049","4116178","2688647","1687963","7531540","6819315","2581607","4438465","3315435","3289598","1586038","5560679","4099082","3014401","1627459","3404121"
"C36H70","3434377","4902295","1603193","1245565","7301335","4707674","2236920","3893793","2382802","2761141","1859736","3703962","4273688","3049877","1941917","2121927"
"C37H72","3578243","4571250","1777807","1141612","5679899","6023315","2009342","4808926","2600363","2657667","1513082","4209744","3962134","2945286","1609813","2132076"
"C38H74","3662704","3078130","2073631","1111712","7057757","5484223","2562358","4472965","2983140","2938208","1229186","5562169","4756958","3490939","1708605","3049027"
"C39H76","3006519","3362091","1586401","1330098","7217563","4740807","1531704","3674360","1953771","2646329","1591062","4433927","3380039","3237145","1299429","1610268"
"C40H78","3397802","3755324","1517722","1172523","5973514","5559367","1480420","3808315","2839800","3029753","2153087","4318511","3487597","3053543","1255004","2231508"
"C41H80","3205244","3659064","1699580","4614296","4994864","5339749","1287638","3841060","1495931","2985610","1363847","3905040","3587956","3056215","1307515","2242287"
"C42H82","3160222","3542276","1107140","4561623","4723089","4101188","1422503","3160014","2271490","1923007","1554165","4008945","2721900","2872527","1391667","1732334"
"C43H84","3281406","2902238","1303536","4835485","4177333","4317453","1946355","3404861","2453780","2823770","1425545","4409361","2488674","2661803","1763570","1996122"
"C44H86","3218842","2738407","1751163","3080350","4477499","4116660","1739219","4115048","2533205","2489373","1370379","4702161","2889971","2944867","1164508","1854276"
"C45H88","1808884","2351422","1091339","6668780","3814828","4422761","1288982","3371036","2408498","2711329","1352022","3610561","2451671","2540170","1122598","1963419"
"C46H90","2136829","1893418","1256732","4891684","4168448","4103542","1147982","2496268","1940421","2882845","1073650","3286912","2140844","2017728","2998500","2304350"
"C47H92","1945784","2334272","3023221","4119488","3186989","4354344","1184341","3088909","1795138","1851972","1091940","3248845","2057232","2320823","2378104","1362831"
"C48H94","2114333","2585627","3391545","5734933","3268333","3421304","1275720","3009525","1593809","2175682","3001984","3525976","2295348","1913624","4017685","1888494"
"C49H96","2141255","1923158","4575535","6646742","2966689","3058705","1092714","2910283","1679613","1790205","2617271","3074007","1490119","1360998","3831742","2384479"
"C50H98","1419971","1840343","3075577","8333240","2071907","2642836","1421907","2004570","1580475","1153093","3500389","2360564","2256458","1597752","5418898","1143283"
"C51H100","1638640","1339676","5495199","6303259","1988170","3052705","4653880","2442542","1232576","1370779","3372822","1983242","1541435","1486562","5785584","1387193"
"C52H102","1236618","2202585","4787097","6935786","1399916","2650330","5386179","2153909","1214321","1267983","4055194","2159736","1279245","4104012","6229048","1488713"
"C53H104","1403507","5672319","7596401","5197562","1944821","2719557","4446478","1830697","1311921","1295789","4274771","2270303","1295519","2986266","5094005","996801"
"C54H106","1214019","3645241","7183036","6432032","1701179","2681216","3513577","1844108","4101538","1511215","5193056","1994595","1308916","4638802","7170228","1509915"
"C55H108","1761429","6711766","8698259","4716079","1687200","3111796","6361506","1998044","2811373","1624014","4733141","2444883","4692907","5075314","7859281","1309216"
"C56H110","1895003","4346681","8145301","5023145","1269377","2003207","5958422","1882244","4040232","1326206","6140101","1895423","4301057","7934972","9531655","1166641"
"C57H112","5339239","9519812","10348425","4602955","1632691","2475023","5117662","1436722","2842951","1161317","6492643","1595567","2721896","7025881","8844121","3347570"
"C58H114","4049329","7992254","12969530","4206330","1257680","1761702","5737410","1281863","6091995","1367845","6881000","1433552","5673747","8041394","6439372","3420319"
"C59H116","5440220","10070657","8954067","5099158","1199780","1841791","7533815","1466088","4565302","1308070","7251428","1270053","4883105","6636108","4520716","2897531"
"C60H118","5790438","9010456","6676214","4606945","2277942","1547598","8592308","1175019","5681466","1635647","6743785","1278957","5669149","8013419","6424324","2427248"
"C61H120","10063889","10540431","8145995","4930156","2248877","1218246","7945158","1687965","5791578","2978385","4025834","4507714","5892979","9193793","4235325","3597897"
"C62H122","8868924","11947853","6317186","4399390","9093411","1862817","8051976","1459520","6933515","3297921","5718530","2901942","7841168","10652916","5216574","3979676"
"C63H124","9427547","15647830","5838744","3711200","8422783","1458784","5151749","4838286","8401496","4814275","4834271","3415363","10053827","10095270","4031623","3919235"
"C64H126","8794768","13887372","5469613","3534488","8153043","1377877","7982914","3302963","11123487","1792497","3865135","3641567","11608336","9409913","3946037","4266551"
"C65H128","10986237","14420946","4984544","3120653","5904081","6391264","5246283","4634417","10273415","5103952","3938237","6338240","11012961","7496853","4054553","5361250"
"C67H132","12222745","10739738","4874105","3430658","12777193","6156716","6618463","4763534","8945842","4806656","3011292","5503697","12101281","9575260","3283973","5942706"
"C68H134","14742203","14377952","4676647","2739072","12056474","5469140","4748307","7982169","5863840","6130610","3580141","6096734","7303627","8330575","3437515","6527833"
"C69H136","14292620","11851488","4558257","3172240","10332485","4335409","4772386","6896532","8900612","4446719","4198743","5523468","10632295","8469992","3556686","5629185"
"C70H138","14060340","11835607","4578513","2644221","14539514","8335900","5599303","7142875","7853559","5122546","3850098","6980226","10069570","7440572","3730043","4915395"
"C17H30","10561392","11307403","3564917","2788528","15600696","7748603","4114729","6752720","6594959","6412763","4098898","9787692","9076521","6462021","3237186","6022835"
"C18H32","12454579","11256089","3665570","1823652","20663936","6420129","5483203","8536981","5617939","8055083","2843589","12093756","9375473","8933287","3305367","4907243"
"C19H34","11355336","13109219","3666772","1952462","17587416","8566296","4950705","10578613","4451638","7760470","2815884","10620801","8910307","6528520","3654133","6294642"
"C20H36","11238777","10423881","2780866","1075744","21120706","9514719","3964557","11480542","7115871","7049894","2130800","11104453","10738840","7321216","2912661","3983377"
"C21H38","10509470","12403882","2229230","2019006","15956524","13209715","4496882","11660738","4980990","5236318","2880897","6235545","7754668","6249677","2724291","4059844"
"C22H40","9568942","12819249","2075808","1438498","23225604","12521950","4749525","10990980","6914406","7520722","1779103","10689693","10294197","5795677","2273733","5597061"
"C23H42","10817678","10752474","2644135","1428827","15758647","12846815","3404796","8427723","4875663","7391564","2078925","9395073","8420557","6009998","2073548","4288820"
"C24H44","8791847","11518108","1332438","1542263","22227458","9908668","3222087","11217733","4580120","8180965","2326027","9207795","8177300","6165191","2025427","4646868"
"C25H46","9684823","10266482","1769340","1268597","17349896","15087801","3142298","10941605","5727111","5677208","1947931","9234392","8233125","5587494","1394067","4238056"
"C26H48","9781511","10966729","1487490","1121191","16537652","10152476","2894776","9956534","5407852","5494883","1485879","7760868","8307359","5771566","1267139","3846643"
