,27020 rub,6607lis1,cdotk,007847pal,ch971,nut35,sn120,c801,0304v1,3049m-1041,29749 climon,48459 f1,4988acae1,0676trasg1,1681aull1,,CdoT43,0896snr31,33757 sfco,3359cu1,7285sf1,and1,,,,,,,,,,,,,,,,,,,,,cse
,S1,S2,S4,,S5,S6,S7,S8,S9,S10,,S11,S12,S13,S14,S15,SUBMISSION: 100132179,,S16,S17,S18,S19,FV1,FV2,FV4,FV5,FV6,FV7,FV8,FV9,FV10,FV11,FV12,FV13,FV14,FV15,FV16,FV17,FV18,FV19,,,
,Rubiales,Lisama 165,Teca 62,Palagua,Chichimene 97,Nutria 35,Santos 120,Castilla 80,Vasconia-Tropomix,Mangos 104,CañoLimón,Fauno 1,ACAE 12,Trasgo 1,Aullador 1 DST2,Tisquirama 7,Tesoro 43,San Roque 3,San Francisco 17,Mezcla parafínica,San Fernando,Andalucia sur 10,Rubiales,Lisama 165,Teca 62,Chichimene 97,Nutria 35,Santos 120,Castilla 80,Vasconia-Tropomix,Mangos 104,Fauno 1,ACAE 12,Trasgo 1,Aullador 1 DST2,Tisquirama 7,San Francisco 17,Mezcla parafínica,San Fernando,Andalucia sur 10,Tesoro 43,San Roque 3,CSE
,200789673,200826607,200866254,201010735,200820720,200825159,200825157,200823420,200798220,#REF!,200740335,200779601,#REF!,200780676,200881681,200830897,#REF!,200830896,#REF!,#REF!,200897285,200833761,200802115,200928210,200982546,200832769,200845783,200837698,200834748,200810104,#REF!,200812429,200891969,200817187,200898545,200873436,#REF!,#REF!,200939838,200885472,#REF!,200885486,
,CRUDO,CRUDO,CRUDO*,CRUDO,CRUDO,CRUDO,CRUDO,CRUDO*,CRUDO,CRUDO*,CRUDO,CRUDO*,CRUDO,CRUDO*,CRUDO,CRUDO,CRUDO,CRUDO,CRUDO*,CRUDO,CRUDO,CRUDO*,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,
ANALISIS,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,534.9,517.8+,519.6+,525.5+,532+,524.5+,521+,535+,517+,565.5+,558+,530+,530+,530.+,545+,521.5+,533+,539+,548+,512.2+,
,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,995+,964+,967.3+,978+,990+,976+,970+,995+,962.6+,1050,1036+,987+,986+,986,1013+,970.7+,991.4+,1002+,1018.4+,954.0+,
API 15.6°C (60°F) ,13.3,21.1,12.1,15.5,9.4,29.7,25.3,12.5,23.1,20.0,30.0,13.7,28.5,13.4,24.5,21.3,34.1,23.0,26.6,42.0,8.2,31.8,1.7,11.2,4.0,0.9(2),7.8,10.0,1.1,2.9,4.7,2.4,7.9,1.9,8.5,8.3,6.2,7.0,1.8,4.9,11.8,9.9,13.6
Azufre (%w),1.250,0.907,1.44,1.26,3.14,0.63,1.12,2.26,0.973,2.09,0.437,1.20,0.753,1.850,1.90,1.90,0.432,1.80,0.41,0.164,3.23,0.381,2.74,1.53 (2),1.8(1),3.81,1.72,2.48,3.54,2.00,3.15,2.32***,1.70,3.30,3.06,2.84,1.17,0.91,4.41 (3),0.96,1.14,2.84,1.27
RCC (%w),12.94,4.34,9.67,7.03,17.84,6.44,6.06,16.41,8.15,9.41,4.87,11.8,4.77,11.14,6.97,8.83,3.38,8.32,5.08,1.67,17.40,5.34,35.50,13.50,21.60,31.40,24.80,19.80,35.40,30.60,24.20,39.20,21.80,30.10,20.40,21.00,25.70,20.60,32.60,26.10,18.20,18.30,
Número de ácido (mg KOH/g),0.495,6.690,5.265,4.774,N.D.1,1.454,2.526,0.267,0.373,0.208,0.132,0.265,<0.1,0.872,0.375,1.010,0.726,0.121,0.681,<0.1,0.154,0.183,,,,,,,,,,,,,,,,,,,,,0.505
